SKU;Name;Description;Cost Price;Old Price;Price;Available On;Stock;Height;Width;Depth;Weight;Position;Taxonomies;Permalink;image_variant1;image_variant2;image_variant3;image_variant4;image_variant5;image_variant6;image_variant7;image_variant8;image_variant9;image_variant10;image_variant11;image_variant12;image_variant13;image_variant14;image_variant15;image_variant16;image_variant17;image_variant18;image_variant19;image_variant20;image_variant21;image_variant22;image_variant23;image_variant24;image_variant25;image_variant26
0;Cadeira Gamer Alpha Gamer Vega Black;"</strong><br>- Marca: Alpha Gamer<br>- Modelo: Vega<br> <br><strong><br>Especificações:<br></strong><br>- Peso suportado: 150 Kg (máx.)<br>- Elevador: Gás (classe 4)<br>- Enchimento: Esponja de densidade moderada<br>- Ajuste da cadeira: 10 cm (em altura)<br>- Ajuste do encosto: posicionamento a 180º (máx.)<br>- Materiais: Metal, plástico, pele sintética<br> <br><strong>Ajuste do apoio dos braços:</strong><br>- 7 cm (em altura)<br>- 30º na horizontal (direita / esquerda)<br><strong><br></strong><br><strong>Conteúdo da Embalagem:</strong><br>- Cadeira Gamer Alpha Gamer Vega<br>- Almofadas para pescoço e lombar <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>22800 gramas<br>
";749.90;999.90;882.24;;;;;;;;Categories > Cadeiras;;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_Black/81454_1476705843_g.jpg;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_Black/81454_index_g.jpg;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_Black/81454_1476705852_g.jpg;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_Black/81454_1476705856_g.jpg;;;;;;;;;;;;;;;;;;;;;;
1;Cadeira Gamer Alpha Gamer Vega BlackRed;"</strong></strong><br>- Marca: Alpha Gamer<br>- Modelo: Vega<br> <br><strong><strong><br>Especificações:<br></strong></strong><br>- Peso suportado: 150 Kg (máx.)<br>- Elevador: Gás (classe 4)<br>- Enchimento: Esponja de densidade moderada<br>- Ajuste da cadeira: 10 cm (em altura)<br>- Ajuste do encosto: posicionamento a 180º (máx.)<br>- Materiais: Metal, plástico, pele sintética<br> <br><strong><strong>Ajuste do apoio dos braços:</strong></strong><br>- 7 cm (em altura)<br>- 30º na horizontal (direita / esquerda)<br><strong><br></strong><br><strong><strong>Conteúdo da Embalagem:</strong></strong><br>- Cadeira Gamer Alpha Gamer Vega<br>- Almofadas para pescoço e lombar <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>22800 gramas<br>
";749.90;999.90;882.24;;;;;;;;Categories > Cadeiras;;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_BlackRed/81456_1476706549_g.jpg;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_BlackRed/81456_index_g.jpg;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_BlackRed/81456_1476706554_g.jpg;Cadeiras/Cadeira_Gamer_Alpha_Gamer_Vega_BlackRed/81456_1476706559_g.jpg;;;;;;;;;;;;;;;;;;;;;;
2;Cadeira Gamer DT3 Sports Elise Orange 106366;"</strong><br>- Marca: DT3 Sports<br>- Modelo: Elise<br> <br><strong><br>Especificações:<br></strong><br>- Base com 5 pés com 350mm de raio.<br>- Recomendado para pessoas de até 130Kg e 1,80m.<br>- Largura do encosto superior: 58 cm<br>- Distância entre os braços: 56 cm<br>- Largura de encosto inferior: 52 cm<br>- Largura do encosto interno: 33 cm<br>- Largura interna do assento: 36 cm<br>- Largura do assento: 56 cm<br>- Altura do encosto: 84 cm<br>- Profundidade do assento: 57 cm<br> <br><strong>Informações adicionais:</strong><br>- Cadeira ergonômica, reclinável, com design Racing DT3sports.<br>- Estofamento couro sintético PU alta qualidade.<br>- Assento com espuma de alta densidade (50Kg/m³), regulagem de altura de 100mm e 360° de rotação.<br>- Função de balanço permite inclinar o assento em até 12°.<br>- Cilindro de alta qualidade (class-4 gas lift) com sistema de segurança contra explosão.<br>- Duas almofadas inclusas para apoio lombar e pescoço. Ambas com logo bordado.<br>- Atende normas EN 1335-1 e EN 1335-2 certificadas pela SGS.<br>- Base de aço com pintura “black piano”.<br>- Homologadas no teste BIFMA, suportam mais do que 1500Kg mesmo após 1 ano de uso.<br><strong> </strong><br><strong>Conteúdo da embalagem:</strong><br>- Cadeira Gamer DT3 Sports  <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>24250 gramas<br>
";779.90;1029.90;917.53;;;;;;;;Categories > Cadeiras;;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_10_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_1509977614_index_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_11_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_12_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_13_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_14_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_15_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_16_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_1_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_2_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_3_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_4_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_5_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_6_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_7_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_8_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_9_1509977544_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_Elise_Orange_106366/90503_xxx_g.jpg;;;;;;;;
3;Cadeira Gamer DT3 Sports GT Black Light Green 105185;"</strong><br>- Marca: DT3 Sports<br>- Modelo: 10518-5<br> <br><strong><br>Especificações:<br></strong> <br>- Cadeira ergonômica, extra-acolchoado e super confortável<br>- Design diferenciado para escritório, casa, trabalho ou lazer<br>- Construção leve para fácil movimentação mas estrutura resistente e reforçada<br>- Couro sintético PU mesclado com tecido de fácil limpeza e alta qualidade<br>- Apoio de braço de couro PU com acolchoamento extra para maior conforto<br>- Rotação de giro de 360°<br>- Mola de gás com altura ajustável e alta qualidade (class-4 gas lift)<br>- Função de balanço permite inclinar o assento em até 12°<br>- Com bloqueio na posição vertical<br>- Rodas de alta resistência e fácil movimentação (60mm)<br>- Base de aço liga com pintura eletroestática<br>- Possui 5 pés com 350mm de raio<br>- Costura industrial de qualidade<br>- Suporta até 110Kg<br>- Atende normas EN 1335-1 e EN 1335-2 certificadas pela SGS<br> <br><strong>Dimensões Físicas:</strong><br>- Altura do assento ajustável: 43 <br>- 51 cm<br>- Largura do assento: 53 cm<br>- Profundidade do assento: 53 cm<br>- Largura do encosto superior: 52 cm<br>- Largura do encosto inferior: 50 cm<br>- Altura do encosto: 70 cm<br>- Distância entre os braços: 50 cm<br>- Altura do chão até o braço: 70 cm<br>- Espessura do estofamento: 8 cm<br> <br><strong>Conteúdo da Embalagem:</strong><br>- Cadeira Gamer DT3 Sports GT<br><br><strong><strong><strong>* Não acompanha Almofadas </strong><br><br><strong>* GARANTIA ESPECIAL (Fabricante)</strong><br>Todas as cadeiras da GAMING SERIES contam com:<br>- 2 Anos na Estrutura<br>- 2 Anos na Base e Rodinhas<br>- 2 Anos no Cilindro de Gás<br>- 1 Ano  nas Demais Partes</strong></strong> <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>19500 gramas<br>
";499.90;649.90;588.12;;;;;;;;Categories > Cadeiras;;Cadeiras/Cadeira_Gamer_DT3_Sports_GT_Black_Light_Green_105185/84598_1_1530532579_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_GT_Black_Light_Green_105185/84598_index_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_GT_Black_Light_Green_105185/84598_2_1530532579_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_GT_Black_Light_Green_105185/84598_3_1530532579_g.jpg;Cadeiras/Cadeira_Gamer_DT3_Sports_GT_Black_Light_Green_105185/84598_4_1530532579_g.jpg;;;;;;;;;;;;;;;;;;;;;
4;Computador HP Intel Core I37100 4GB HD 500GB Windows 10 Pro  2SE06LA;"</strong><br>- Marca: HP<br>- Modelo: 2SE06LA<br><strong><br></strong><br><strong><br>Especificações:<br></strong><br>- USB 1000dpi Laser WRD<br>- 180W Chassis / 1 VGA + 1 DP<br><strong><br></strong><br><strong>Processador:</strong><br>-  INTEL 7100 7Gen Core i3-2C   <br> <br><strong>Memória:</strong><br>- RAM 4GB (1x4GB)<br>- DDR4<br>- 2400<br><strong><br></strong><br><strong>Armazenamento:</strong><br>- HDD 500GB <br>- 7200RPM 3.5   <br> <br><strong>Chipset:</strong><br>- Intel H270  <br> <br><strong>Conteúdo da embalagem:</strong><br>-  Computador HP<br> <br><strong>Obs: Não acompanha Drive Óptico.</strong> <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>6665 gramas<br>
";2148.90;;2528.12;;;;;;;;Categories > Computadores;;Computadores/Computador_HP_Intel_Core_I37100_4GB_HD_500GB_Windows_10_Pro__2SE06LA/94050_xxx_g.jpg;Computadores/Computador_HP_Intel_Core_I37100_4GB_HD_500GB_Windows_10_Pro__2SE06LA/94050_1513187419_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
5;Computador HP Intel Core I57500 4GB HD 500GB Windows 10 Pro  2SE07LA;"</strong><br>- Marca: HP<br>- Modelo: 2SE07LA<br> <br><strong><br>Especificações:<br></strong><br>- Turbo Drive (PCIe M.2)<br>- 1 M.2 2230 para NIC sem fio<br>- PCI Express x16 (v3.0)(conectado como x4) 2,5"", perfil baixo, 6,6"" de comprimento, potência máxima de 35 W<br>- PCI Express x16 (v3.0) 2,5"", perfil baixo, 6,6"" de comprimento, potência máxima de 35 W<br><strong><br></strong><br><strong>Processador:</strong><br>- Intel® Core i5-7500 com gráficos Intel® HD 630 <br>- Frequência base 3,4 GHz, até 3,8 GHz com a tecnologia Intel® Turbo Boost<br>- 6 MB de cache<br>- 4 núcleos<br><strong><br></strong><br><strong>Chipset:</strong><br>- Intel® H270<br><strong><br></strong><br><strong>Fator de forma:</strong><br>- Small form factor<br><strong><br></strong><br><strong>Sistema Operacional:</strong><br>- Windows 10 Pro 64<br> <br><strong>Memória:</strong><br>- 4 GB DDR4-2400 SDRAM (1x4 GB)<br>- Slots de memória: 2 DIMM<br><strong><br></strong><br><strong>Disco Rígido:</strong><br>- SATA de 500 GB 7200 rpm<br> <br><strong>Gráficos:</strong><br>- Integrado<br>- Gráficos Intel® HD 630<br><strong><br></strong><br><strong>Portas Frontais:</strong><br>- 1 leitor de cartões SD 3 (opcional)<br>- 1 conector para fone de ouvido<br>- 2 USB 3.1 Gen 1<br><strong><br></strong><br><strong>Portas Traseiras:</strong><br>- 1 Conector de áudio; 1 RJ-45<br>- 1 Conector de saída de áudio<br>- 1 DisplayPort<br>- 1 VGA<br>- 4 USB 2.0<br>- 2 USB 3.1 Gen 1<br>- 1 Conector de alimentação<br> <br><strong>Áudio:</strong><br>- Codec Conexant CX20632<br>- Alto-falante interno 2 W<br>- Conector de áudio universal<br>- Portas frontais para headset e fone de ouvido (3,5 mm)<br>- Pronto para multistreaming<br> <br><strong>Conteúdo da embalagem:</strong><br>- Computador HP<br> <br><strong>Obs: Não acompanha Drive Óptico.</strong> <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>6720 gramas<br>
";2589.90;;3046.94;;;;;;;;Categories > Computadores;;Computadores/Computador_HP_Intel_Core_I57500_4GB_HD_500GB_Windows_10_Pro__2SE07LA/94051_xxx_g.jpg;Computadores/Computador_HP_Intel_Core_I57500_4GB_HD_500GB_Windows_10_Pro__2SE07LA/94051_1513187097_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
6;Computador Lenovo Intel Core i37100 8GB HD 500GB DVDRW Windows 10 Pro V520S  10NN001FBP;"</strong><br>- Marca: Lenovo<br>- Modelo: 10NN001FBP<br><strong><br></strong><br><strong><br>Especificações:<br></strong><br> <br><strong>Processador:</strong><br>- Intel Core i3<br>- 7100 <br>- 3.90GHz<br> <br><strong>Memória:</strong><br>- 8GB (2x4GB)<br>- Tipo: DDR4 2400MHz<br>- Memória máxima: 32GB (2x16GB)<br> <br><strong>Armezenamento:</strong><br>- 500GB<br><strong><br></strong><br><strong>Sistema Operacional:</strong><br>- Windows 10 PRO<br> <br><strong>Chipset Placa mãe:</strong><br>- INTEL B250<br> <br><strong>Drive Óptico:</strong><br>- DVD+RW Dual Layer<br> <br><strong>Slots:</strong><br>- PCIe X1: 01<br>- PCIe X16: 01<br> <br><strong>Placa de vídeo:</strong><br>- Compatilhada<br> <br><strong>Conexões:</strong><br>- USB 2.0: 2<br>- USB 3.0: 6<br>- VGA: 01<br>- HDMI: 01<br>- Display Port: 01<br>- Serial: 01<br> <br><strong>Rede:</strong><br>- 10/100/1000 Mbps<br> <br><strong>Criptografia:</strong><br>- Firmware TPM (fTPM)<br> <br><strong>Fonte:</strong><br>- 180W <br>- Automática <br>- 85% PSU<br> <br><strong>Gabinete:</strong><br>- Small Form Factor (SFF)<br> <br><strong>Teclado e mouse:</strong><br>- Conexão com computador: USB 2.0<br> <br><strong>Conteúdo da embalagem:</strong><br>- Computador Lenovo <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>7000 gramas<br>
";2949.90;;3470.47;;;;;;;;Categories > Computadores;;Computadores/Computador_Lenovo_Intel_Core_i37100_8GB_HD_500GB_DVDRW_Windows_10_Pro_V520S__10NN001FBP/96701_1_1526492223_g.jpg;Computadores/Computador_Lenovo_Intel_Core_i37100_8GB_HD_500GB_DVDRW_Windows_10_Pro_V520S__10NN001FBP/96701_1526492251_index_g.jpg;Computadores/Computador_Lenovo_Intel_Core_i37100_8GB_HD_500GB_DVDRW_Windows_10_Pro_V520S__10NN001FBP/96701_2_1526492223_g.jpg;Computadores/Computador_Lenovo_Intel_Core_i37100_8GB_HD_500GB_DVDRW_Windows_10_Pro_V520S__10NN001FBP/96701_xxx_g.jpg;;;;;;;;;;;;;;;;;;;;;;
7;Computador Ultratop Intel Celeron Dual Core J3060 4GB HD 500GB Linux  325507;"</strong><br> <br>- Marca: Ultratop<br> <br>- Modelo: 32550-7<br> <strong><br> <br>Especificações:<br> </strong><br>- Processador Intel Quinta Geração <br>- Braswell <br>- Processador: Intel Dual Core J3060 1,6Ghz Turbo: 2.48Ghz <br>- Memória cache: 2 MB<br>- TDP máximo: 6W<br>- Tecnologia: 14 nm <br><strong><br></strong><strong>Memória Ram</strong>:<br>- 4GB <br>- DDR3<br>- 1 x DDR3L SODIMM <br>- 1600/1333 MHz<br>- Voltagem: 1,35V <br>- Máximo de 8 GB <br><strong>Discos:</strong><br>- Tipo de disco: SATA 3,5 ou 2,5 <br>- Fixo<br>- Disco Padrão: 1 x 500GB SATA<br>- Discos suportado: 1 <br><strong><br>Unidade óptica:</strong><br>- Somente opção de unidade externa<br><strong><br></strong><strong>Gráficos:</strong><br>- Intel HD Graphics 400<br>- 1 x VGA <br>- 1 x HDMI  <br><strong>Rede:</strong><br>- 1 x 10/100/1000Mbps<br><strong>Áudio:</strong><br>- Realtek® ALC662 codec<br>- Áudio CODEC HD de 6 canais<br>- Áudio CODEC de Alta Definição 6 canais ALC662 Realtek <br><strong>Fonte:</strong><br>- Fonte adaptador, entrada 100-240V AC, saída 12V DC 3,75A<br><strong>USB:</strong><br>- 4 Portas USB 2.0 <br>- 2 portas traseiras, 2 portas frontais.<br>- 2 Porta USB 3.0 <br>- Traseira <br><strong>Conexões Traseiras:</strong><br>- Teclado PS/2 e conector de mouse PS/2<br>- VGA<br>- Serial (COM)<br>- HDMI<br>- USB 3.0<br>- Rede 10/100/1000<br>- USB 2.0<br>- Porta de áudio (Linha Sai / Linha entra / Mic Entra)<br><strong>Sistema Operacional:</strong><br>- Linux<br><strong>Conteúdo da Embalagem:</strong><br>- 01 Computador  Ultratop  <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>1890 gramas<br>
";985.90;;1159.88;;;;;;;;Categories > Computadores;;Computadores/Computador_Ultratop_Intel_Celeron_Dual_Core_J3060_4GB_HD_500GB_Linux__325507/83540_1479391409_g.jpg;Computadores/Computador_Ultratop_Intel_Celeron_Dual_Core_J3060_4GB_HD_500GB_Linux__325507/83540_index_g.jpg;Computadores/Computador_Ultratop_Intel_Celeron_Dual_Core_J3060_4GB_HD_500GB_Linux__325507/83540_1479391415_g.jpg;;;;;;;;;;;;;;;;;;;;;;;
8;HD Seagate SATA 35 BarraCuda 2TB 7200RPM 64MB Cache SATA 6Gbs  ST2000DM006;"</strong><br>- Marca: Seagate<br>- Modelo: ST2000DM006<br> <br><strong><br>Especificações:<br></strong><br>- Número do modelo ST2000DM006<br>- Interface SATA 6.0Gb/s<br>- Cache 64MB<br>- Capacidade 2TB<br>- Fator de Forma: 3.5""<br>- Velocidade do eixo: 7200RPM<br>- Dimensão Aproximada: 26.11 x 101.60 x 146.99mm<br><strong> </strong><br><strong>Conteúdo da Embalagem:</strong><br>- 01 HD Seagate  <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>610 gramas<br>
";354.90;;417.53;;;;;;;;Categories > Disco Rigido;;Disco_Rigido/HD_Seagate_SATA_35_BarraCuda_2TB_7200RPM_64MB_Cache_SATA_6Gbs__ST2000DM006/80924_1474898803_g.jpg;Disco_Rigido/HD_Seagate_SATA_35_BarraCuda_2TB_7200RPM_64MB_Cache_SATA_6Gbs__ST2000DM006/80924_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
9;HD Seagate SATA 35 BarraCuda 3TB 7200RPM 64MB Cache SATA 6Gbs  ST3000DM008 ;"</strong><br>- Marca: Seagate<br>- Modelo: ST3000DM008 <br> <br><strong><br>Especificações:<br> </strong><br> <br><strong>Interface: </strong><br>- SATA 6Gb/s<br> <br><strong>Performance:</strong><br>- Seagate AcuTrac™ Technology<br>- Taxas de transferência SATA suportadas (Gb / s): 6.0/3.0/1.5<br>- Taxa média de dados, leitura/gravação: 156<br>- Máx. Taxa de dados, leitura/gravação OD: 210<br>- Cache: 64 MB<br><strong><br></strong><br><strong>Configurações:</strong><br>- Heads/Discos: 6/3<br>- Bytes por setor: 4096<br><strong><br></strong><br><strong>Confiabilidade/Integridade de Dados:</strong><br>- Ciclos de carga / descarga: 300,000<br>- Erros de leitura não recuperáveis ​​por bits lidos, máx.: 1 per 10E14<br>- Horário de funcionamento (por ano): 2400<br>- Limite da taxa de carga de trabalho (TB / ano): 55<br> <br><strong>Energia:</strong><br>- Poder de inicialização (A): 2.0<br>- Modo típico de operação: 8.0W<br>- Média Ociosa: 5.4W<br>- Modo de espera/ modo de espera típico: 0.75W/0.75W<br>- Tolerância de tensão, incluindo ruído (5V): ±5%<br>- Tolerância de tensão, incluindo ruído (12V): ±10%<br><strong><br></strong><br><strong>Meio ambiente:</strong><br>- Operação (ambiente, min): 0<br>- Operação (Caixa da unidade, máx.): 60<br>- Não operacional (ambiente): –40 to 70<br>- Sem halogênio<br>- RoHS<br><strong><br></strong><br><strong>Conteúdo da embalagem:</strong><br>- HD Seagate <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>600 gramas<br>
";592.90;;697.53;;;;;;;;Categories > Disco Rigido;;;Disco_Rigido/HD_Seagate_SATA_35_BarraCuda_3TB_7200RPM_64MB_Cache_SATA_6Gbs__ST3000DM008_/83616_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
